title_link,titles,posted_date,hacking_type,text_loc
https://thehackernews.com/2024/02/meta-warns-of-8-spyware-firms-targeting.html,"  Meta Warns of 8 Spyware Firms Targeting iOS, Android, and Windows Devices "," Feb 19, 2024", Mobile Security / Cyber Espionage," Meta Platforms said it took a series of steps to curtail malicious activity from eight different firms based in Italy, Spain, and the United Arab Emirates (U.A.E.) operating in the surveillance-for-hire industry."
https://thehackernews.com/2024/02/bye-bye-siem-hello-risk-based-alerting.html,  How to Achieve the Best Risk-Based Alerting (Bye-Bye SIEM) ," Feb 19, 2024", Network Detection and Response, Are you aware of  Network Detection and Response (NDR)  and how it's become the most effective technology to detect cyber threats? 
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/anatsa-android-trojan-bypasses-google.html,"  Anatsa Android Trojan Bypasses Google Play Security, Expands Reach to New Countries "," Feb 19, 2024", Malware / Mobile Security," The Android banking trojan known as  Anatsa  has expanded its focus to include Slovakia, Slovenia, and Czechia as part of a new campaign observed in November 2023."
https://thehackernews.com/2024/02/russian-linked-hackers-breach-80.html,  Russian-Linked Hackers Target 80+ Organizations via Roundcube Flaws ," Feb 19, 2024", Cyber Espionage / Vulnerability, Threat actors operating with interests aligned to Belarus and Russia have been linked to a new cyber espionage campaign that likely exploited cross-site scripting (XSS) vulnerabilities in Roundcube webmail servers to target over 80 organizations.
https://thehackernews.com/2024/02/iranian-hackers-target-middle-east.html,   Iranian Hackers Target Middle East Policy Experts with New BASICSTAR Backdoor ," Feb 19, 2024", Malware / Cyber Espionage, The Iranian-origin threat actor known as Charming Kitten has been linked to a new set of attacks aimed at Middle East policy experts with a new backdoor called  BASICSTAR  by creating a fake webinar portal.
https://thehackernews.com/2024/02/fbis-most-wanted-zeus-and-icedid.html,  FBI's Most-Wanted Zeus and IcedID Malware Mastermind Pleads Guilty ," Feb 18, 2024", Malware / Cybercrime," A Ukrainian national has pleaded guilty in the U.S. to his role in two different malware schemes, Zeus and IcedID, between May 2009 and February 2021."
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/how-businesses-can-safeguard-their.html,  How Businesses Can Safeguard Their Communication Channels Against Hackers ," Feb 17, 2024", Cybersecurity / Risk Mitigation," Efficient communication is a cornerstone of business success. Internally, making sure your team communicates seamlessly helps you avoid friction losses, misunderstandings, delays, and overlaps. Externally, frustration-free customer communication is directly correlated to a positive customer experience and higher satisfaction. "
https://thehackernews.com/2024/02/google-open-sources-magika-ai-powered.html,  Google Open Sources Magika: AI-Powered File Identification Tool ," Feb 17, 2024", Artificial Intelligence / Data Protection," Google has announced that it's open-sourcing  Magika , an artificial intelligence (AI)-powered tool to identify file types, to help defenders accurately detect binary and textual file types."
https://thehackernews.com/2024/02/cisa-warning-akira-ransomware.html,  CISA Warning: Akira Ransomware Exploiting Cisco ASA/FTD Vulnerability ," Feb 16, 2024", Ransomware / Vulnerability," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Thursday  added  a now-patched security flaw impacting Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) software to its Known Exploited Vulnerabilities ( KEV ) catalog, following reports that it's being likely exploited in Akira ransomware attacks."
https://thehackernews.com/2024/02/rustdoor-macos-backdoor-targets.html,  RustDoor macOS Backdoor Targets Cryptocurrency Firms with Fake Job Offers ," Feb 16, 2024", Endpoint Security / Cryptocurrency , Multiple companies operating in the cryptocurrency sector are the target of an ongoing malware campaign that involves a newly discovered Apple macOS backdoor codenamed RustDoor.
https://thehackernews.com/2024/02/why-we-must-democratize-cybersecurity.html,  Why We Must Democratize Cybersecurity ," Feb 16, 2024", SecOps / Threat Intelligence," With breaches making the headlines on an almost weekly basis, the cybersecurity challenges we face are becoming visible not only to large enterprises, who have built security capabilities over the years, but also to small to medium businesses and the broader public. While this is creating greater awareness among smaller businesses of the need to improve their security posture, SMBs are often left facing a gap in the market, unable to find security tooling that is both easy for them to use and which they can afford."
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/malicious-sns-sender-script-abuses-aws.html,  Malicious 'SNS Sender' Script Abuses AWS for Bulk Smishing Attacks ," Feb 16, 2024", Cyber Threat / Cloud Security, A malicious Python script known as  SNS Sender  is being advertised as a way for threat actors to send bulk smishing messages by abusing Amazon Web Services (AWS) Simple Notification Service ( SNS ).
https://thehackernews.com/2024/02/us-state-government-network-breached.html,  U.S. State Government Network Breached via Former Employee's Account ," Feb 16, 2024", Cybersecurity / Data Breach, The U.S. Cybersecurity and Infrastructure Security Agency (CISA) has revealed that an unnamed state government organization's network environment was compromised via an administrator account belonging to a former employee.
https://thehackernews.com/2024/02/us-government-disrupts-russian-linked.html,  U.S. Government Disrupts Russia-Linked Botnet Engaged in Cyber Espionage ," Feb 16, 2024", Botnet / Network Security, The U.S. government on Thursday said it disrupted a botnet comprising hundreds of small office and home office (SOHO) routers in the country that was put to use by the Russia-linked APT28 actor to conceal its malicious activities.
https://thehackernews.com/2024/02/russian-turla-hackers-target-polish.html,  Russian Turla Hackers Target Polish NGOs with New TinyTurla-NG Backdoor ," Feb 15, 2024", Malware / Cyber Espionage, The Russia-linked threat actor known as Turla has been observed using a new backdoor called  TinyTurla-NG  as part of a three-month-long campaign targeting Polish non-governmental organizations in December 2023.
https://thehackernews.com/2024/02/ivanti-pulse-secure-found-using-11-year.html,  Ivanti Pulse Secure Found Using 11-Year-Old Linux Version and Outdated Libraries ," Feb 15, 2024", Firmware Security / Reverse Engineering," A reverse engineering of the firmware running on Ivanti Pulse Secure appliances has revealed numerous weaknesses, once again underscoring the challenge of securing software supply chains."
https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,  How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities  ," Feb 15, 2024", SaaS Security / Risk Management," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications."
https://thehackernews.com/2024/02/chinese-hackers-using-deepfakes-in.html,  Chinese Hackers Using Deepfakes in Advanced Mobile Banking Malware Attacks ," Feb 15, 2024", Banking Trojan / Cybercrime," A Chinese-speaking threat actor codenamed  GoldFactory  has been attributed to the development of highly sophisticated banking trojans, including a previously undocumented iOS malware called GoldPickaxe that's capable of harvesting identity documents, facial recognition data, and intercepting SMS."
https://thehackernews.com/2024/02/critical-exchange-server-flaw-cve-2024.html,  Critical Exchange Server Flaw (CVE-2024-21410) Under Active Exploitation ," Feb 15, 2024", Threat Intelligence / Vulnerability," Microsoft on Wednesday acknowledged that a newly disclosed critical security flaw in Exchange Server has been actively exploited in the wild, a day after it released fixes for the vulnerability as part of its  Patch Tuesday updates ."
https://thehackernews.com/2024/02/microsoft-openai-warn-of-nation-state.html,"  Microsoft, OpenAI Warn of Nation-State Hackers Weaponizing AI for Cyber Attacks "," Feb 14, 2024", Artificial Intelligence / Cyber Attack," Nation-state actors associated with Russia, North Korea, Iran, and China are experimenting with artificial intelligence (AI) and large language models (LLMs) to complement their ongoing cyber attack operations."
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/ubuntu-command-not-found-tool-could.html,  Ubuntu 'command-not-found' Tool Could Trick Users into Installing Rogue Packages ," Feb 14, 2024", Software Security / Vulnerability, Cybersecurity researchers have found that it's possible for threat actors to exploit a well-known utility called command-not-found to recommend their own rogue packages and compromise systems running Ubuntu operating system.
