title_link,titles,posted_date,hacking_type,hacking_sub_type,hacking_subtype
https://thehackernews.com/2024/02/meta-warns-of-8-spyware-firms-targeting.html,"  Meta Warns of 8 Spyware Firms Targeting iOS, Android, and Windows Devices ",2024-02-19, Mobile Security ,Cyber Espionage,Cyber Espionage
https://thehackernews.com/2024/02/anatsa-android-trojan-bypasses-google.html,"  Anatsa Android Trojan Bypasses Google Play Security, Expands Reach to New Countries ",2024-02-19, Malware ,Mobile Security,Mobile Security
https://thehackernews.com/2024/02/russian-linked-hackers-breach-80.html,  Russian-Linked Hackers Target 80+ Organizations via Roundcube Flaws ,2024-02-19, Cyber Espionage ,Vulnerability,Vulnerability
https://thehackernews.com/2024/02/iranian-hackers-target-middle-east.html,   Iranian Hackers Target Middle East Policy Experts with New BASICSTAR Backdoor ,2024-02-19, Malware ,Cyber Espionage,Cyber Espionage
https://thehackernews.com/2024/02/fbis-most-wanted-zeus-and-icedid.html,  FBI's Most-Wanted Zeus and IcedID Malware Mastermind Pleads Guilty ,2024-02-18, Malware ,Cybercrime,Cybercrime
https://thehackernews.com/2024/02/how-businesses-can-safeguard-their.html,  How Businesses Can Safeguard Their Communication Channels Against Hackers ,2024-02-17, Cybersecurity ,Risk Mitigation,Risk Mitigation
https://thehackernews.com/2024/02/google-open-sources-magika-ai-powered.html,  Google Open Sources Magika: AI-Powered File Identification Tool ,2024-02-17, Artificial Intelligence ,Data Protection,Data Protection
https://thehackernews.com/2024/02/cisa-warning-akira-ransomware.html,  CISA Warning: Akira Ransomware Exploiting Cisco ASA/FTD Vulnerability ,2024-02-16, Ransomware ,Vulnerability,Vulnerability
https://thehackernews.com/2024/02/rustdoor-macos-backdoor-targets.html,  RustDoor macOS Backdoor Targets Cryptocurrency Firms with Fake Job Offers ,2024-02-16, Endpoint Security ,Cryptocurrency ,Cryptocurrency 
https://thehackernews.com/2024/02/why-we-must-democratize-cybersecurity.html,  Why We Must Democratize Cybersecurity ,2024-02-16, SecOps ,Threat Intelligence,Threat Intelligence
https://thehackernews.com/2024/02/malicious-sns-sender-script-abuses-aws.html,  Malicious 'SNS Sender' Script Abuses AWS for Bulk Smishing Attacks ,2024-02-16, Cyber Threat ,Cloud Security,Cloud Security
https://thehackernews.com/2024/02/us-state-government-network-breached.html,  U.S. State Government Network Breached via Former Employee's Account ,2024-02-16, Cybersecurity ,Data Breach,Data Breach
https://thehackernews.com/2024/02/us-government-disrupts-russian-linked.html,  U.S. Government Disrupts Russia-Linked Botnet Engaged in Cyber Espionage ,2024-02-16, Botnet ,Network Security,Network Security
https://thehackernews.com/2024/02/russian-turla-hackers-target-polish.html,  Russian Turla Hackers Target Polish NGOs with New TinyTurla-NG Backdoor ,2024-02-15, Malware ,Cyber Espionage,Cyber Espionage
https://thehackernews.com/2024/02/ivanti-pulse-secure-found-using-11-year.html,  Ivanti Pulse Secure Found Using 11-Year-Old Linux Version and Outdated Libraries ,2024-02-15, Firmware Security ,Reverse Engineering,Reverse Engineering
https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,  How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities  ,2024-02-15, SaaS Security ,Risk Management,Risk Management
https://thehackernews.com/2024/02/chinese-hackers-using-deepfakes-in.html,  Chinese Hackers Using Deepfakes in Advanced Mobile Banking Malware Attacks ,2024-02-15, Banking Trojan ,Cybercrime,Cybercrime
https://thehackernews.com/2024/02/critical-exchange-server-flaw-cve-2024.html,  Critical Exchange Server Flaw (CVE-2024-21410) Under Active Exploitation ,2024-02-15, Threat Intelligence ,Vulnerability,Vulnerability
https://thehackernews.com/2024/02/microsoft-openai-warn-of-nation-state.html,"  Microsoft, OpenAI Warn of Nation-State Hackers Weaponizing AI for Cyber Attacks ",2024-02-14, Artificial Intelligence ,Cyber Attack,Cyber Attack
