title_link,titles,posted_date,hacking_type,hacking_sub_type
https://thehackernews.com/2024/02/meta-warns-of-8-spyware-firms-targeting.html,"  Meta Warns of 8 Spyware Firms Targeting iOS, Android, and Windows Devices ",19-02-2024, Mobile Security ,Cyber Espionage
https://thehackernews.com/2024/02/anatsa-android-trojan-bypasses-google.html,"  Anatsa Android Trojan Bypasses Google Play Security, Expands Reach to New Countries ",19-02-2024, Malware ,Mobile Security
https://thehackernews.com/2024/02/russian-linked-hackers-breach-80.html,  Russian-Linked Hackers Target 80+ Organizations via Roundcube Flaws ,19-02-2024, Cyber Espionage ,Vulnerability
https://thehackernews.com/2024/02/iranian-hackers-target-middle-east.html,   Iranian Hackers Target Middle East Policy Experts with New BASICSTAR Backdoor ,19-02-2024, Malware ,Cyber Espionage
https://thehackernews.com/2024/02/fbis-most-wanted-zeus-and-icedid.html,  FBI's Most-Wanted Zeus and IcedID Malware Mastermind Pleads Guilty ,18-02-2024, Malware ,Cybercrime
https://thehackernews.com/2024/02/how-businesses-can-safeguard-their.html,  How Businesses Can Safeguard Their Communication Channels Against Hackers ,17-02-2024, Cybersecurity ,Risk Mitigation
https://thehackernews.com/2024/02/google-open-sources-magika-ai-powered.html,  Google Open Sources Magika: AI-Powered File Identification Tool ,17-02-2024, Artificial Intelligence ,Data Protection
https://thehackernews.com/2024/02/cisa-warning-akira-ransomware.html,  CISA Warning: Akira Ransomware Exploiting Cisco ASA/FTD Vulnerability ,16-02-2024, Ransomware ,Vulnerability
https://thehackernews.com/2024/02/rustdoor-macos-backdoor-targets.html,  RustDoor macOS Backdoor Targets Cryptocurrency Firms with Fake Job Offers ,16-02-2024, Endpoint Security ,Cryptocurrency 
https://thehackernews.com/2024/02/why-we-must-democratize-cybersecurity.html,  Why We Must Democratize Cybersecurity ,16-02-2024, SecOps ,Threat Intelligence
https://thehackernews.com/2024/02/malicious-sns-sender-script-abuses-aws.html,  Malicious 'SNS Sender' Script Abuses AWS for Bulk Smishing Attacks ,16-02-2024, Cyber Threat ,Cloud Security
https://thehackernews.com/2024/02/us-state-government-network-breached.html,  U.S. State Government Network Breached via Former Employee's Account ,16-02-2024, Cybersecurity ,Data Breach
https://thehackernews.com/2024/02/us-government-disrupts-russian-linked.html,  U.S. Government Disrupts Russia-Linked Botnet Engaged in Cyber Espionage ,16-02-2024, Botnet ,Network Security
https://thehackernews.com/2024/02/russian-turla-hackers-target-polish.html,  Russian Turla Hackers Target Polish NGOs with New TinyTurla-NG Backdoor ,15-02-2024, Malware ,Cyber Espionage
https://thehackernews.com/2024/02/ivanti-pulse-secure-found-using-11-year.html,  Ivanti Pulse Secure Found Using 11-Year-Old Linux Version and Outdated Libraries ,15-02-2024, Firmware Security ,Reverse Engineering
https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,  How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities  ,15-02-2024, SaaS Security ,Risk Management
https://thehackernews.com/2024/02/chinese-hackers-using-deepfakes-in.html,  Chinese Hackers Using Deepfakes in Advanced Mobile Banking Malware Attacks ,15-02-2024, Banking Trojan ,Cybercrime
https://thehackernews.com/2024/02/critical-exchange-server-flaw-cve-2024.html,  Critical Exchange Server Flaw (CVE-2024-21410) Under Active Exploitation ,15-02-2024, Threat Intelligence ,Vulnerability
https://thehackernews.com/2024/02/microsoft-openai-warn-of-nation-state.html,"  Microsoft, OpenAI Warn of Nation-State Hackers Weaponizing AI for Cyber Attacks ",14-02-2024, Artificial Intelligence ,Cyber Attack
https://thehackernews.com/2024/02/ubuntu-command-not-found-tool-could.html,  Ubuntu 'command-not-found' Tool Could Trick Users into Installing Rogue Packages ,14-02-2024, Software Security ,Vulnerability
